subject,modeldate,party,approve_estimate,disapprove_estimate,timestamp
Trump,2021-26-12,I,35.912502,57.484054,2021-27-12 08:32
Trump,2021-26-12,D,9.4143635,87.934516,2021-27-12 08:32
Biden,2021-26-12,all,48.010523,45.553965,2021-27-12 08:33
Trump,2021-26-12,all,38.940859,57.001143,2021-27-12 08:33
Biden,2021-26-12,I,41.482005,50.522976,2021-27-12 08:32
Trump,2021-26-12,R,76.792488,19.971529,2021-27-12 08:33
Biden,2021-25-12,I,41.482005,50.522976,2021-27-12 08:32
Biden,2021-25-12,all,48.010523,45.553965,2021-27-12 08:33
Biden,2021-25-12,R,17.494898,78.724277,2021-27-12 08:33
Trump,2021-25-12,D,9.4143635,87.934516,2021-27-12 08:32
Trump,2021-25-12,R,76.792488,19.971529,2021-27-12 08:33
Trump,2021-25-12,all,38.940859,57.001143,2021-27-12 08:33
Trump,2021-25-12,I,35.912502,57.484054,2021-27-12 08:32
Trump,2021-24-12,R,76.792488,19.971529,2021-27-12 08:33
Trump,2021-24-12,I,35.912502,57.484054,2021-27-12 08:32
Trump,2021-24-12,D,38.940859,57.001143,2021-27-12 08:32
Biden,2021-24-12,R,17.494898,78.724277,2021-27-12 08:33
Trump,2021-24-12,all,38.940859,57.001143,2021-27-12 08:33
Biden,2021-24-12,all,48.010523,45.553965,2021-27-12 08:33
Trump,2021-23-12,R,76.792488,19.971529,2021-27-12 08:33
Biden,2021-23-12,R,17.494898,78.724277,2021-27-12 08:33
Trump,2021-23-12,all,38.940859,57.001143,2021-27-12 08:33
Trump,2021-23-12,I,35.912502,57.484054,2021-27-12 08:33
Biden,2021-23-12,all,48.010523,45.553965,2021-27-12 08:33
Trump,2021-23-12,D,38.940859,57.001143,2021-27-12 08:32
Biden,2021-22-12,D,83.452996,12.357737,2021-22-12 12:22
Trump,2021-22-12,D,9.4143635,87.934516,2021-22-12 12:22
Biden,2021-22-12,I,41.334632,50.698771,2021-22-12 12:22
Trump,2021-22-12,I,35.912502,57.484054,2021-22-12 12:22
Biden,2021-22-12,R,17.399267,78.843827,2021-22-12 12:22
Trump,2021-22-12,R,76.792488,19.971529,2021-22-12 12:22
Biden,2021-22-12,all,47.921858,45.61673,2021-22-12 12:22
Trump,2021-22-12,all,38.940859,57.001143,2021-22-12 12:22
Biden,2021-21-12,D,84.006009,12.638254,2021-21-12 20:07
Trump,2021-21-12,D,9.4143635,87.934516,2021-21-12 20:07
Biden,2021-21-12,I,41.296449,50.872328,2021-21-12 20:07
Trump,2021-21-12,I,35.912502,57.484054,2021-21-12 20:07
Biden,2021-21-12,R,16.836659,79.11574,2021-21-12 20:07
Trump,2021-21-12,R,76.792488,19.971529,2021-21-12 20:07
Biden,2021-21-12,all,48.008868,45.542943,2021-21-12 20:07
Trump,2021-21-12,all,38.940859,57.001143,2021-21-12 20:07
Trump,2021-20-12,I,35.912502,57.484054,2021-21-12 09:38
Biden,2021-20-12,R,16.402652,79.486258,2021-21-12 09:38
Biden,2021-20-12,D,84.436176,12.246985,2021-21-12 09:38
Trump,2021-20-12,D,9.4143635,87.934516,2021-21-12 09:38
Biden,2021-20-12,I,42.175489,50.384511,2021-21-12 09:38
Trump,2021-20-12,R,76.792488,19.971529,2021-21-12 09:38
Biden,2021-20-12,all,48.213242,45.361993,2021-21-12 09:39
Trump,2021-20-12,all,38.940859,57.001143,2021-21-12 09:39
Biden,2021-19-12,R,16.627059,79.222985,2021-21-12 09:38
Trump,2021-19-12,R,76.792488,19.971529,2021-21-12 09:38
Trump,2021-19-12,I,35.912502,57.484054,2021-21-12 09:38
Trump,2021-19-12,D,9.4143635,87.934516,2021-21-12 09:38
Biden,2021-19-12,all,48.148961,45.241931,2021-21-12 09:39
Biden,2021-19-12,I,41.729212,50.418921,2021-21-12 09:38
Trump,2021-19-12,all,38.940859,57.001143,2021-21-12 09:39
Biden,2021-19-12,D,84.363377,12.161175,2021-21-12 09:38
Trump,2021-18-12,R,76.792488,19.971529,2021-21-12 09:38
Biden,2021-18-12,all,48.148961,45.241931,2021-21-12 09:39
Trump,2021-18-12,all,38.940859,57.001143,2021-21-12 09:39
Biden,2021-18-12,R,16.627059,79.222985,2021-21-12 09:38
Biden,2021-18-12,D,84.363377,12.161175,2021-21-12 09:38
Biden,2021-18-12,I,41.729212,50.418921,2021-21-12 09:38
Trump,2021-18-12,I,35.912502,57.484054,2021-21-12 09:38
Trump,2021-18-12,D,9.4143635,87.934516,2021-21-12 09:38
Trump,2021-17-12,R,76.792488,19.971529,2021-21-12 09:39
Biden,2021-17-12,all,48.148961,45.241931,2021-21-12 09:39
Biden,2021-17-12,R,16.627059,79.222985,2021-21-12 09:38
Trump,2021-17-12,D,9.4143635,87.934516,2021-21-12 09:38
Trump,2021-17-12,all,38.940859,57.001143,2021-21-12 09:39
Biden,2021-17-12,D,84.363377,12.161175,2021-21-12 09:38
Biden,2021-17-12,I,41.729212,50.418921,2021-21-12 09:38
Trump,2021-17-12,I,35.912502,57.484054,2021-21-12 09:38
Biden,2021-16-12,D,84.363377,12.161175,2021-16-12 00:17
Trump,2021-16-12,D,9.4143635,87.934516,2021-16-12 00:17
Biden,2021-16-12,I,41.729212,50.418921,2021-16-12 00:17
Trump,2021-16-12,I,35.912502,57.484054,2021-16-12 00:17
Biden,2021-16-12,R,16.627059,79.222985,2021-16-12 00:17
Trump,2021-16-12,R,76.792488,19.971529,2021-16-12 00:17
Biden,2021-16-12,all,48.148961,45.241931,2021-16-12 00:17
Trump,2021-16-12,all,38.940859,57.001143,2021-16-12 00:17
Biden,2021-15-12,D,84.363377,12.161175,2021-15-12 20:24
Trump,2021-15-12,D,9.4143635,87.934516,2021-15-12 20:24
Biden,2021-15-12,I,41.729212,50.418921,2021-15-12 20:24
Trump,2021-15-12,I,35.912502,57.484054,2021-15-12 20:24
Biden,2021-15-12,R,16.627059,79.222985,2021-15-12 20:24
Trump,2021-15-12,R,76.792488,19.971529,2021-15-12 20:24
Biden,2021-15-12,all,48.148961,45.241931,2021-15-12 20:24
Trump,2021-15-12,all,38.940859,57.001143,2021-15-12 20:24
Biden,2021-14-12,D,85.180122,10.948852,2021-14-12 13:59
Trump,2021-14-12,D,9.4143635,87.934516,2021-14-12 13:59
Biden,2021-14-12,I,40.067004,50.637612,2021-14-12 13:59
Trump,2021-14-12,I,35.912502,57.484054,2021-14-12 13:59
Biden,2021-14-12,R,15.577494,79.92625,2021-14-12 13:59
Trump,2021-14-12,R,76.792488,19.971529,2021-14-12 13:59
Biden,2021-14-12,all,47.92217,45.014907,2021-14-12 13:59
Trump,2021-14-12,all,38.940859,57.001143,2021-14-12 13:59
Trump,2021-13-12,D,9.4143635,87.934516,2021-13-12 08:59
Biden,2021-13-12,all,47.545875,45.173822,2021-13-12 08:59
Biden,2021-13-12,I,40.39767,49.894758,2021-13-12 08:59
Biden,2021-13-12,R,14.942193,80.361946,2021-13-12 08:59
Biden,2021-13-12,D,85.087707,10.921535,2021-13-12 08:59
