Country,Sex,y2015,y2010,y2005,y2000
Angola, Both sexes,25.9,26.2,25.6,23.8
Angola, Male,38.1,38.8,38.5,36.3
Angola, Female,14.3,14.3,13.3,12
C̫te d'Ivoire, Both sexes,27.2,26.4,25.1,22.2
C̫te d'Ivoire, Male,38.8,37.9,36.5,32.2
C̫te d'Ivoire, Female,14.4,13.5,12.4,10.7
Equatorial Guinea, Both sexes,26.6,27.9,26.3,27.7
Equatorial Guinea, Male,39.1,41.1,38.3,41.6
Equatorial Guinea, Female,13.2,13.7,13.4,12.8
Kazakhstan, Both sexes,27.5,26.1,29.9,39.1
Kazakhstan, Male,48.1,45.7,53.3,70.3
Kazakhstan, Female,9.6,9,9.1,12.4
Lithuania, Both sexes,26.1,27.9,35.3,45.3
Lithuania, Male,47.1,50.4,64.2,80
Lithuania, Female,8.1,8.5,10.4,15.3
Mongolia, Both sexes,28.1,32.9,33.6,31.8
Mongolia, Male,48.2,55.8,57.7,51.6
Mongolia, Female,9.2,11.3,10.7,13
Suriname, Both sexes,26.9,29,30,29
Suriname, Male,41.6,45.7,49.4,46.3
Suriname, Female,12.6,12.8,10.9,12
Sri Lanka, Both sexes,34.6,28.7,30.9,38.3
Sri Lanka, Male,58.8,47.6,48.2,59.5
Sri Lanka, Female,13.3,11.7,14.8,17.9
